"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":10421}]","10421","instructions","0","10425","0.0-0.0","",""
"","11696","survey-text","1","22243","0.0-1.0","{""age"":""46""}",""
"","10269","survey-multi-choice","2","32620","0.0-2.0","{""sex"":""Feminino""}","[0]"
"","17199","survey-multi-choice","3","49929","0.0-3.0","{""own_schooling"":""Ensino Fundamental""}","[0]"
"","47468","survey-multi-choice","4","97507","0.0-4.0","{""mother_schooling"":""Ensino Fundamental""}","[0]"
"","15514","survey-multi-choice","5","113134","0.0-5.0","{""father_schooling"":""Ensino Fundamental""}","[0]"
"","362097","survey-html-form","6","475344","0.0-6.0","{""language_0"":""crioulo h"",""listening_0"":""0"",""speaking_0"":""2"",""reading_0"":""4"",""writing_0"":""4"",""language_1"":""port"",""listening_1"":""41"",""speaking_1"":""41"",""reading_1"":""41"",""writing_1"":""41"",""language_2"":""francês"",""listening_2"":""7"",""speaking_2"":""7"",""reading_2"":""7"",""writing_2"":""7"",""language_3"":""espanhol"",""listening_3"":""13"",""speaking_3"":""35"",""reading_3"":""13"",""writing_3"":""13""}",""
"","425334","survey-html-form","7","900797","0.0-7.0","{""language_3"":""espanhol"",""listening_3"":""1"",""speaking_3"":""0,5"",""reading_3"":""0,5"",""writing_3"":""0,5"",""language_1"":""port"",""listening_1"":""0,5"",""speaking_1"":""0,5"",""reading_1"":""0,5"",""writing_1"":""0,5"",""language_2"":""francês"",""listening_2"":""1"",""speaking_2"":""1"",""reading_2"":""0,5"",""writing_2"":""0,5""}",""
"","7296","survey-text","8","908207","0.0-8.0","{""country_of_origin"":""Haiti""}",""
"","16915","survey-text","9","925238","0.0-9.0","{""country_of_residence"":""Brasil (2017)""}",""
"","88249","survey-html-form","10","1013610","0.0-10.0","{""country_0"":""Equador"",""duration_0"":""24"",""language_0"":""espanhol"",""frequency_0"":""5"",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","86234","survey-html-form","11","1099952","0.0-11.0","{""language_0"":""port "",""context_0"":""3, 2"",""language_1"":""espanhol"",""context_1"":""3"",""language_2"":""francês"",""context_2"":""2"",""language_3"":"""",""context_3"":""""}",""
"","302588","survey-html-form","12","1402653","0.0-12.0","{""language_0"":""crioulo h"",""home_0"":""2"",""friends_0"":""2"",""school_0"":""5"",""work_0"":""-"",""computer_0"":""-"",""games_0"":""-"",""language_1"":""port"",""home_1"":""-"",""friends_1"":""41"",""school_1"":""46"",""work_1"":""42"",""computer_1"":""-"",""games_1"":""-"",""language_2"":""espanhol"",""home_2"":""-"",""friends_2"":""35"",""school_2"":""13"",""work_2"":""35"",""computer_2"":""-"",""games_2"":""-"",""language_3"":""francês"",""home_3"":""-"",""friends_3"":""7"",""school_3"":""7"",""work_3"":""20"",""computer_3"":""-"",""games_3"":""-""}",""
"","62941","survey-likert","13","1465704","0.0-13.0","{""new_languages"":2}","[0]"
"","134842","survey-html-form","14","1600659","0.0-14.0","{""language_0"":""port"",""listen_0"":""3"",""talk_0"":""3"",""read_0"":""3"",""write_0"":""3"",""language_1"":""crioulo h"",""listen_1"":""6"",""talk_1"":""6"",""read_1"":""6"",""write_1"":""6"",""language_2"":""espanhol"",""listen_2"":""3"",""talk_2"":""3"",""read_2"":""3"",""write_2"":""3"",""language_3"":""francês"",""listen_3"":""4"",""talk_3"":""4"",""read_3"":""4"",""write_3"":""4""}",""
"","327064","survey-html-form","15","1927835","0.0-15.0","{""language_0"":""crioulo h"",""tv_0"":""2"",""radio_0"":""1"",""read_fun_0"":""1"",""read_work_0"":""-"",""write_0"":""-"",""social_nets_0"":""1"",""language_1"":""port"",""tv_1"":""1"",""radio_1"":""1"",""read_fun_1"":""1"",""read_work_1"":""-"",""write_1"":""1"",""social_nets_1"":""1"",""language_2"":""espanhol"",""tv_2"":""-"",""radio_2"":""-"",""read_fun_2"":""-"",""read_work_2"":""-"",""write_2"":""-"",""social_nets_2"":""-"",""language_3"":""francês"",""tv_3"":""1"",""radio_3"":""1"",""read_fun_3"":""1"",""read_work_3"":""-"",""write_3"":""-"",""social_nets_3"":""1""}",""
"","200790","survey-html-form","16","2128732","0.0-16.0","{""language_0"":""crioulo h"",""family_0"":""1"",""friends_0"":""1"",""work_0"":""-"",""school_0"":""-"",""language_1"":""port"",""family_1"":""-"",""friends_1"":""1"",""work_1"":""6"",""school_1"":""1"",""language_2"":""espanhol"",""family_2"":""-"",""friends_2"":""-"",""work_2"":""-"",""school_2"":""-"",""language_3"":""francês"",""family_3"":""-"",""friends_3"":""1"",""work_3"":""-"",""school_3"":""-""}",""
"","149978","survey-html-form","17","2278829","0.0-17.0","{""language_0_0"":""crioulo"",""language_0_1"":""crioulo"",""language_0_2"":""crioulo"",""language_0_3"":""crioulo"",""language_1_0"":""crioulo"",""language_1_1"":""crioulo e port"",""language_1_2"":""crioulo"",""language_1_3"":""crioulo e port"",""language_2_0"":""port"",""language_2_1"":""port"",""language_2_2"":""port"",""language_2_3"":""port"",""language_3_0"":""port"",""language_3_1"":""port"",""language_3_2"":""port"",""language_3_3"":""port""}",""
"","310160","survey-html-form","18","2589114","0.0-18.0","{""language_2"":""esp"",""think_2"":""1"",""selftalk_2"":""1"",""emotions_2"":""1"",""dream_2"":""1"",""math_2"":""1"",""remember_2"":""1"",""pray_2"":""1"",""language_1"":""crioulo h"",""think_1"":""6"",""selftalk_1"":""7"",""emotions_1"":""7"",""dream_1"":""2"",""math_1"":""3"",""remember_1"":""2"",""pray_1"":""6"",""language_3"":""fran"",""think_3"":""2"",""selftalk_3"":""2"",""emotions_3"":""2"",""dream_3"":""1"",""math_3"":""1"",""remember_3"":""1"",""pray_3"":""1""}",""
"","21293","survey-multi-choice","19","2610518","0.0-19.0","{""dificuldade_visao_ou_audicao"":""Sim""}","[0]"
"","41763","survey-text","20","2652424","0.0-20.0","{""detalhes_dificuldades_audicao_ou_visao"":""tenho miopia e hipermetropia e uso óculos""}",""
"","135244","survey-text","21","2787779","0.0-21.0","{""additional_info"":""""}",""
